 Line, Type of investment,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,
,,2006,,,,2007 ,,,,2008,,,,2009 ,,,,2010,,,,2011 ,,,,2012,,,,2013 ,,,,2014,,,,2015 ,,,,2016,,,,2017 ,,
,,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III
1,U.S. net international investment position (line 4 less line 35),-1656271,-1679424,-2006413,-1808474,-1654830,-1422046,-1232107,-1279493,-1849701,-1835095,-3309696,-3995303,-3856708,-3200061,-2670164,-2627626,-2769546,-3181212,-2746809,-2511788,-2638599,-2785715,-4133952,-4454997,-4547907,-5222050,-4953117,-4518300,-5042555,-5467480,-4933500,-5372654,-5439735,-5434684,-6175444,-6980245,-6908374,-6818773,-7346438,-7493479,-7833442,-8292111,-8035870,-8318378,-8091616,-8004133,-7768745
24,        Insurance technical reserves,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
25,        Trade credit and advances,35706,36914,35960,37386,38152,43437,43693,48385,47035,51353,48755,44402,47093,44083,43317,45079,43800,46792,46501,51078,46252,45998,54327,55098,52410,53917,53824,55724,54915,59115,60853,53370,46899,49725,47762,47032,45500,44970,45723,44753,48114,45674,47704,45397,49311,50222,51556
26,      Reserve assets,206293,217052,211620,219853,228280,224869,252007,277211,308493,307579,291785,293732,303312,314516,383368,403804,407947,438549,463609,488673,503346,529062,559845,537037,572578,556620,606277,572368,553058,446207,483426,448333,470884,477865,443987,434251,418485,415377,400352,383601,432011,454415,457105,407223,433093,435670,456552
27,        Monetary gold,152221,160430,156703,165267,173047,170105,194294,218025,244109,243259,231296,227439,239664,244371,260388,284380,291702,325305,341779,367537,376297,393687,423628,400355,434742,418006,464422,433434,417941,311707,346878,314975,337791,343871,318113,315368,310399,306215,291310,277189,323474,345375,345832,301090,325527,324847,343866
28,        Special drawing rights,8344,8618,8655,8870,8948,9018,9301,9476,9892,9849,9418,9340,9082,9437,57945,57814,55996,54551,57410,56824,56543,57234,55875,54956,55460,54341,55232,55050,53704,53881,54966,55184,55394,55411,53148,51941,49459,50425,50332,49688,50518,50161,50054,48883,49349,50620,51443
29,        Reserve position in the International Monetary Fund,7376,7906,6619,5040,4846,4573,4463,4244,4302,5237,4750,7683,8201,12114,13471,11385,11598,11365,12938,12492,19332,25541,28804,30080,31436,33930,35248,34161,34039,33860,33462,30750,29820,30535,28358,25164,19783,19236,18891,17609,16677,16733,18348,18385,18295,18846,19040
30,        Other reserve assets,38352,40098,39643,40676,41439,41173,43949,45466,50190,49234,46321,49270,46365,48594,51564,50225,48651,47328,51482,51820,51174,52600,51538,51646,50940,50343,51375,49723,47374,46759,48120,47424,47879,48048,44368,41778,38844,39501,39819,39115,41342,42146,42871,38865,39922,41358,42204
31,          Currency and deposits,16386,17244,17084,17614,17969,18022,19205,19886,22466,20568,18185,18025,16926,17753,22119,21562,20894,20029,21891,21847,20671,21982,21231,26673,21705,21240,25007,24934,23039,21351,21575,20889,20930,24777,22143,19003,17440,17818,17926,17555,19276,20914,23537,17728,20180,22627,25326
32,          Securities,17991,18641,18342,18637,18944,18526,19837,20487,22152,21988,20835,23095,21647,22588,24160,23482,22828,22767,24585,25039,25232,25229,25297,24973,24243,24261,24825,23471,22152,21570,22078,21436,21727,21866,22225,22775,21404,21683,21893,21560,22066,21232,19334,21137,19742,18731,16878
33,          Financial derivatives,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....
